threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,basic_correctness_test_success,operations_per_thread
1,0,0,5.000000476837158,968458,488686,880351,436293,6963903,3459092,8812712,1,[8812712]
1,1,0,5.0,905670,458725,823215,406255,6514095,3223303,8242980,1,[8242980]
1,2,0,5.0,897378,454810,815658,402331,6454635,3192150,8167671,1,[8167671]
2,0,0,5.000000953674316,435791,235369,400177,183458,3168424,1454236,4004392,1,"[1735178, 2269214]"
2,1,0,5.000009536743164,383652,211111,352524,159115,2784814,1259227,3520990,1,"[1277110, 2243880]"
2,2,0,5.000003814697266,554026,289174,493684,235826,3891597,1861554,4939307,1,"[2413748, 2525559]"
4,0,0,5.0000081062316895,235225,139063,212709,87020,1678616,687479,2126550,1,"[561478, 546364, 553671, 465037]"
4,1,0,5.0000128746032715,210193,126914,190844,75336,1503543,596310,1904580,1,"[484645, 486983, 483153, 449799]"
4,2,0,5.000012397766113,236093,139192,213321,87477,1686627,693710,2136041,1,"[567494, 480856, 546221, 541470]"
8,0,0,5.0000224113464355,219609,131493,199591,80039,1576836,632895,1996036,1,"[261559, 246536, 254797, 232428, 260189, 237285, 251856, 251386]"
8,1,0,5.000019550323486,204709,124279,185589,72954,1465623,576656,1855921,1,"[243157, 226930, 236962, 218473, 241433, 222402, 236028, 230536]"
8,2,0,5.00001859664917,187271,115841,170587,65172,1346319,513715,1704177,1,"[219995, 213120, 218182, 200857, 215496, 206710, 215564, 214253]"
10,0,0,5.0000224113464355,195917,120380,178576,69294,1408320,546426,1782813,1,"[185768, 177415, 181852, 169578, 180311, 173083, 179232, 180131, 169706, 185737]"
10,1,0,5.0000224113464355,195325,119966,177869,68922,1402070,543609,1775264,1,"[181404, 173985, 181000, 172258, 179199, 172325, 178400, 178927, 172934, 184832]"
10,2,0,5.000018119812012,200487,122128,182332,71012,1436932,561029,1819751,1,"[173714, 182766, 184636, 184843, 182193, 176360, 182004, 182223, 182375, 188637]"
20,0,0,5.0000386238098145,191511,117855,174647,67229,1371639,527785,1737797,1,"[89783, 86686, 87224, 87140, 87454, 86062, 85167, 83510, 85229, 88435, 88176, 85342, 87693, 87557, 87617, 84622, 88221, 87321, 86968, 87590]"
20,1,0,5.0000529289245605,190216,117445,172932,66375,1361789,522827,1724937,1,"[89305, 82867, 86671, 87370, 87288, 84161, 82918, 82765, 83850, 89540, 87437, 86754, 86858, 87144, 88233, 83259, 87244, 86750, 87819, 86704]"
20,2,0,5.0000433921813965,190016,117206,172812,66389,1361711,520962,1724539,1,"[89011, 82679, 87941, 87183, 87577, 84004, 82850, 82882, 84258, 89188, 86665, 86698, 86196, 86405, 86442, 86140, 87434, 85798, 87016, 88172]"
40,0,0,5.0000810623168945,185688,114967,168141,64063,1327052,504778,1680881,1,"[43053, 40710, 42220, 42215, 42658, 40922, 40967, 42485, 42003, 42119, 42326, 42448, 42497, 41049, 42230, 40761, 42558, 42043, 42721, 43307, 42016, 41176, 41872, 43176, 40842, 42056, 42117, 42998, 42292, 42098, 42943, 42882, 41428, 42238, 41004, 42302, 42676, 41869, 40689, 40915]"
40,1,0,5.000092029571533,180840,112705,164313,62022,1295351,490284,1640504,1,"[41573, 41562, 41843, 41326, 41191, 40545, 40626, 40067, 40820, 41607, 40647, 40334, 41602, 40833, 41010, 39775, 41372, 41294, 41579, 42094, 41675, 40065, 41088, 41960, 40003, 41282, 40655, 41614, 41077, 41351, 41539, 41233, 40590, 40680, 39922, 40998, 41397, 41025, 39805, 40845]"
40,2,0,5.000105857849121,180261,112229,163405,61592,1286756,484509,1630422,1,"[41811, 39515, 41940, 41198, 41449, 40466, 40593, 39216, 41675, 41758, 40368, 39838, 41219, 40906, 41564, 39527, 41009, 41451, 41063, 41717, 41103, 39935, 40766, 41336, 39527, 40704, 40642, 41098, 41112, 40875, 40388, 40699, 40859, 40325, 39721, 40439, 40776, 40530, 40181, 41123]"
64,0,0,5.000521659851074,183613,114192,166700,63380,1315919,500107,1666232,1,"[25744, 26294, 25407, 25772, 26194, 26052, 25764, 25662, 26687, 25567, 25994, 25266, 26584, 26465, 25978, 26493, 26336, 25818, 26160, 24644, 26334, 25547, 26308, 26351, 25383, 25546, 25974, 25775, 26256, 25946, 25064, 26369, 26350, 26318, 26389, 26270, 25690, 26446, 25843, 26461, 25804, 26494, 26104, 25764, 26245, 26077, 25778, 26623, 26236, 26600, 25376, 26527, 25540, 25846, 25737, 26071, 26728, 25905, 26426, 26117, 26059, 26412, 25769, 26493]"
64,1,0,5.000485897064209,183168,113356,166594,62815,1313995,496218,1663757,1,"[25969, 25436, 26084, 25347, 25918, 25347, 26103, 26462, 25947, 25823, 26259, 25591, 25822, 25514, 26106, 25892, 25989, 25705, 25938, 26063, 26318, 26011, 25933, 26523, 25842, 26311, 26303, 25325, 26643, 25438, 26154, 26671, 25886, 25616, 25570, 26002, 26235, 26029, 25406, 26083, 26019, 25907, 26034, 26081, 26169, 26357, 26021, 25797, 26442, 26251, 25796, 26328, 26352, 26178, 25914, 26224, 25682, 25456, 25909, 25723, 26400, 26510, 26490, 26103]"
64,2,0,5.000394344329834,183360,113876,166318,63354,1311265,497441,1660943,1,"[26008, 26126, 25800, 26355, 25864, 25824, 25504, 26183, 26291, 26092, 25811, 26082, 26269, 26059, 25955, 26151, 26690, 26248, 25624, 25220, 25702, 26396, 26042, 25115, 25457, 26261, 26128, 26055, 25374, 25566, 26015, 26232, 25945, 26055, 26082, 26052, 25329, 26523, 26027, 25976, 25860, 25916, 26318, 25199, 25396, 26173, 25920, 26267, 25889, 26410, 26427, 25666, 26121, 25641, 26036, 25797, 25659, 25635, 26169, 25954, 26106, 25713, 26144, 26039]"
